Hotel_ID,Hotel_Name,Raw_Hotel_Name,Location,City,State,Landmark,Address
114004,OYO Hotel Galaxy,OYO Hotel Galaxy,Faridabad,Faridabad,Haryana,,"Faridabad, Haryana"
114072,OYO Flagship 82011 Royal Stay Inn,OYO Flagship 82011 Royal Stay Inn,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
114073,OYO Flagship 82012 Hotel Ashotara Palace,OYO Flagship 82012 Hotel Ashotara Palace,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
114083,OYO Grand L M,OYO Grand L M,Ajmer,Ajmer,Rajasthan,,"Ajmer, Rajasthan"
114107,OYO Townhouse 82047 Srk Live Inn Castle,OYO Townhouse 82047 Srk Live Inn Castle Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,Bangalore,Bangalore,Karnataka,Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Ragigudda Sri Prasanna Anjaneyaswamy Temple, Bangalore, Karnataka"
114135,OYO Chintamani Inn Service Apartment,OYO Chintamani Inn Service Apartment,Nagpur,Nagpur,Maharashtra,,"Nagpur, Maharashtra"
114193,Flagship Gsr Residency,Flagship Gsr Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
114207,OYO Thikana Hotel,OYO Thikana Hotel,Rewari,Rewari,Haryana,,"Rewari, Haryana"
114230,Capital O Vrisha Inn,Capital O Vrisha Inn,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,"Visakhapatnam, Andhra Pradesh"
114261,Capital O Fortune Inn,Capital O Fortune Inn Near Birla Mandir,Kolkata,Kolkata,West Bengal,Near Birla Mandir,"Near Birla Mandir, Kolkata, West Bengal"
114276,SPOT ON Luv-kush Inn,SPOT ON Luv-kush Inn,Patna,Patna,Bihar,,"Patna, Bihar"
114277,OYO Gayatri Guest House,OYO Gayatri Guest House,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,"Visakhapatnam, Andhra Pradesh"
114283,Capital O Athitya Resort,Capital O Athitya Resort,Sikar,Sikar,Rajasthan,,"Sikar, Rajasthan"
114284,Super OYO Hotel Regency,Super OYO Hotel Regency Near Acropolis Mall,Kolkata,Kolkata,West Bengal,Near Acropolis Mall,"Near Acropolis Mall, Kolkata, West Bengal"
